Date,Quarter,Gulu - Number of babies with asphyxia,Gulu - Total live births (facility),Gulu - % babies delivered in facility with asphyxia,Gulu - Number of successful rescuscitations,Gulu - % Percent successful rescuscitations,Gulu - Number of babies died from asphyxia,Gulu - % Percent of babies died from asphyxia,Omoro - Number of babies with asphyxia,Omoro - Total live births (facility),Omoro - % babies delivered in facility with asphyxia,Omoro - Number of successful rescuscitations,Omoro - % Percent successful rescuscitations,Omoro - Number of babies died from asphyxia,Omoro - % Percent of babies died from asphyxia,Lamwo - Number of babies with asphyxia,Lamwo - Total live births (facility),Lamwo - % babies delivered in facility with asphyxia,Lamwo - Number of successful rescuscitations,Lamwo - % Percent successful rescuscitations,Lamwo - Number of babies died from asphyxia,Lamwo - % Percent of babies died from asphyxia
1/1/2021,Q1 - 2021,12,905,0.01,9,75.00,6,0.50,20,1347,0.01,18,90.00,5,0.25,,,#DIV/0!,,#DIV/0!,,#DIV/0!
4/1/2021,Q2 - 2021,31,954,0.03,28,90.32,4,0.13,27,1431,0.02,25,92.59,2,0.07,,,,,,,
7/1/2021,Q3 - 2021,24,880,0.03,18,75.00,2,0.08,37,1323,0.03,32,86.49,0,0.00,,,,,,,
10/1/2021,Q4 - 2021,17,839,0.02,13,76.47,4,0.24,10,1350,0.01,8,80.00,6,0.60,20,,,72,,,
1/1/2022,Q1 - 2022,9,895,0.01,11,122.22,0,0.00,8,1412,0.01,8,100.00,1,0.13,26,,,24,,,
4/1/2022,Q2 - 2022,11,1061,0.01,7,63.64,0,0.00,30,1643,0.02,24,80.00,6,0.20,26,,,25,,,
7/1/2022,Q3 - 2022,25,827,0.03,25,100.00,0,0.00,46,1302,0.04,45,97.83,1,0.02,28,,,25,,,
10/1/2022,Q4 - 2022,36,740,0.05,36,100.00,1,0.03,56,1342,0.04,48,85.71,8,0.14,20,,,16,,,
1/1/2023,Q1 - 2023,12,745,0.02,12,100.00,1,0.08,48,1570,0.03,39,81.25,9,0.19,12,1446,0.01,11,0.83,1,0.07
4/1/2023,Q2 - 2023,14,841,0.02,13,92.86,0,0.00,33,1595,0.02,14,42.42,19,0.58,24,1499,0.02,20,1.60,4,0.27
7/1/2023,Q3 - 2023,6,697,0.01,5,83.33,1,0.17,61,1413,0.04,33,54.10,28,0.46,18,1498,0.01,11,1.20,7,0.47
10/1/2023,Q4 - 2023,10,722,0.01,10,100.00,1,0.10,57,1399,0.04,39,68.42,18,0.32,31,1690,0.02,27,1.83,4,0.24
1/1/2024,Q1 - 2024,12,758,0.02,11,91.67,1,0.08,48,1526,0.03,40,83.33,8,0.17,26,1496,0.02,26,1.74,0,0.00
4/1/2024,Q2 - 2024,9,722,0.01,6,66.67,1,0.11,34,1399,0.02,24,70.59,10,0.29,19,1400,0.01,16,1.36,3,0.21
7/1/2024,Q3 - 2024,10,758,0.01,9,90.00,1,0.10,48,1526,0.03,40,83.33,8,0.17,30,1557,0.02,26,1.93,4,0.26
10/1/2024,Q4 - 2024,15,892,0.02,14,93.33,1,0.07,37,1646,0.02,51,137.84,-14,-0.38,26,1706,0.02,23,1.52,3,0.18
1/1/2025,Q1 - 2025,16,845,0.02,12,75.00,4,0.25,58,1499,0.04,47,81.03,11,0.19,23,1504,0.02,20,1.53,3,0.20
4/1/2025,Q2 - 2025,17,813,0.02,17,100.00,0,0.00,40,1390,0.03,38,95.00,2,0.05,10,1538,0.01,10,0.65,0,0.00
7/1/2025,Q3 - 2025,,,,,,,,,,,,,,,,,,,,,
10/1/2025,Q4 - 2025,,,,,,,,,,,,,,,,,,,,,