Date,Quarter,Gulu - # Pregnant women admissions ,Gulu - # Pregnant women admissions into HC II & III,Gulu - # pregnant mothers referred into HC II & HCIII,Gulu - # pregnant mothers referred out of HCs II and III ,Gulu - % pregnant mothers referred out of HCs II and III  (divided by total admissions),Gulu - # Pregnant women admissions into Awach HC IV,Gulu - # pregnant mothers referred into Awach HC IV,Gulu - # pregnant mothers referred out of Awach HC IV,Gulu - % pregnant mothers referred out of Awach HC IV,Omoro - # Pregnant women admissions ,Omoro - # Pregnant women admissions to HC II and III,Omoro - # pregnant mothers referred into HC II to HCIII,Omoro - # pregnant mothers referred out of HCs II and III ,Omoro - % pregnant mothers referred out of HCs II and III ,Omoro - # Pregnant women admissions into HC IV,Omoro - # pregnant mothers referred into HC IV,Omoro - # pregnant mothers referred out of HC IV,Omoro - % pregnant mothers referred out of HC IV,Lamwo - # Pregnant women admissions ,Lamwo - # Pregnant women admissions into HC II & III,Lamwo - # pregnant mothers referred into HC II & HCIII,Lamwo - # pregnant mothers referred out of HCs II and III ,Lamwo - % pregnant mothers referred out of HCs II and III ,Lamwo - # Pregnant women admissions into HC IVs,Lamwo - # pregnant mothers referred into HC IVs,Lamwo - # pregnant mothers referred out of HC IVs,Percent pregnant mothers referred out of HC IVS
1/1/2023,Q1 - 2023,1103,707,13,73,6.62,396,0,25,6.31%,2007,1325,81,151,11.40%,682,21,33,4.84%,2156,1553,143,172,11.08%,603,99,62,10.28
4/1/2023,Q2 - 2023,1070,664,17,61,5.70,406,6,45,11.08%,2125,1451,100,124,8.55%,674,36,40,5.93%,2344,1663,251,153,9.20%,681,66,52,7.64
7/1/2023,Q3 - 2023,1093,696,3,99,9.06,397,3,63,15.87%,2508,1637,20,162,9.90%,871,53,40,4.59%,2364,1646,214,168,10.21%,718,96,43,5.99
10/1/2023,Q4 - 2023,1172,743,10,100,8.53,429,6,58,13.52%,2631,1618,49,149,9.21%,1013,48,59,5.82%,2526,1746,107,180,10.31%,780,97,66,8.46
1/1/2024,Q1 - 2024,1036,584,33,78,7.53,452,6,51,11.28%,2325,1528,23,199,13.02%,797,60,70,8.78%,2302,1491,108,190,12.74%,811,33,59,7.27
4/1/2024,Q2 - 2024,1049,649,21,66,6.29,400,6,24,6.00%,2458,1603,7,201,12.54%,855,75,74,8.65%,2293,1558,202,177,11.36%,735,65,34,4.63
7/1/2024,Q3 - 2024,1159,752,31,91,7.85,407,10,38,9.34%,2582,1792,22,265,14.79%,790,74,63,7.97%,2582,1657,247,224,13.52%,925,146,65,7.03
10/1/2024,Q4 - 2024,1240,707,5,89,7.18,533,17,44,8.26%,2600,1785,31,312,17.48%,815,30,62,7.61%,2677,1750,263,218,12.46%,927,151,62,6.69
1/1/2025,Q1 - 2025,1188,764,21,111,9.34,424,12,47,11.08%,2494,1628,68,254,15.60%,866,126,52,6.00%,2497,1714,186,222,12.95%,783,111,48,6.13
4/1/2025,Q2 - 2025,2456,797,12,80,3.26,1216,9,53,4.36%,2424,1462,34,218,14.91%,962,151,36,3.74%,2587,1763,160,181,10.27%,824,91,63,7.65
7/1/2025,Q3 - 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2025,Q4 - 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,